Full Name,Entity Type,Last Name,First Name,Second Name
"VYBORNYKH, Maksim Vladimirovich",individual,VYBORNYKH,Maks,Vladimirovich
"HAMDAR, Muhammad Ghaleb",individual,HAMDAR,M,Ghaleb
"MAKAROV, Andrey Mikhailovich",individual,MAKAROV,And,Mikhailovich
"RUELAS TORRES, Jose Luis",individual,RUELAS TORRES,Jos,Luis
"KIM, Tong Chol",individual,KIM,To,Chol
"RASHIDI-BARJINI, Aliakbar",individual,RASHIDI-BARJINI,Ali,
"MADURO GUERRA, Nicolas Ernesto",individual,MADURO GUERRA,Nico,Ernesto
"PAVLENKO, Vladimir Nikolaevich",individual,PAVLENKO,Vladim,Nikolaevich
"SADIQ AL-AHDAL, Abdallah Faysal",individual,SADIQ AL-AHDAL,A,Faysal
"VOLODIN, Vyacheslav Victorovich",individual,VOLODIN,Vyac,Victorovich
"ABEDSHAHI, Omid",individual,ABEDSHAHI,Omi,
"MASOUMPOUR, Mojtaba",individual,MASOUMPOUR,M,
"MUGARAGU, Leodomir",individual,MUGARAGU,Leodom,
"KWAK, Chong-chol",individual,KWAK,Chong,
"SUBOTIC, Milan",individual,SUBOTIC,M,
"SABUNI, Ahmad",individual,SABUNI,A,
"PAVLOV, Vladimir Victorovich",individual,PAVLOV,Vlad,Victorovich
"CHUOL, James Koang",individual,CHUOL,J,Koang
"GIRALDO FRANCO, Juan Carlos",individual,GIRALDO FRANCO,J,Carlos
"DABBAGH, Muhammad Nazmi 'Ulwani",individual,DABBAGH,M,Nazmi 'Ulwani
"HTET, Kaung",individual,HTET,Kau,
"BELTRAN ROMERO, Mireya Denisse",individual,BELTRAN ROMERO,Mi,Denisse
"MENDOZA ROBLES, Eduardo",individual,MENDOZA ROBLES,Ed,
"KOI, Wan Kuok",individual,KOI,Wan,Kuok
"TROSHIN, Aleksei Valeryevich",individual,TROSHIN,Al,Valeryevich
"FARRAKHOV, Airat Zakievich",individual,FARRAKHOV,Ai,Zakievich
"IBRAHIM, Ayman",individual,IBRAHIM,Ayma,
"HAJJI, Muhammad Fawzi",individual,HAJJI,Muham,Fawzi
"KIM, Kyong Ok",individual,KIM,Ky,Ok
"GOLIKOV, Andrey Fedorovich",individual,GOLIKOV,An,Fedorovich
"MILLER, Alexey Borisovich",individual,MILLER,A,Borisovich
"BOVDA, Robert Sergeyevich",individual,BOVDA,Rob,Sergeyevich
"MANTILLA OLIVEROS, Jesus Maria",individual,MANTILLA OLIVEROS,Je,Maria
"DURANSOY, Muammer Kuntay",individual,DURANSOY,Muamm,Kuntay
"ROLL CIFUENTES, Jaime Alberto",individual,ROLL CIFUENTES,Jai,Alberto
"GHADIRIAN, Hamid Reza",individual,GHADIRIAN,Ha,Reza
"ORTEGA MURILLO, Juan Carlos",individual,ORTEGA MURILLO,Ju,Carlos
"ATWA, Ali",individual,ATWA,Ali,
"KOSTENKO, Elena Nikolaevna",individual,KOSTENKO,El,Nikolaevna
"SUN, Wei",individual,SUN,Wei,
"LIU, Cuiying",individual,LIU,C,
"ASHFIELD, Jeffrey John James",individual,ASHFIELD,Jeffr,John James
"MPOFU, Obert Moses",individual,MPOFU,Ober,Moses
"NIKBAKHT, Mas'ud",individual,NIKBAKHT,M,
"KUSAYKO, Tatyana Alekseyevna",individual,KUSAYKO,Tatya,Alekseyevna
"PAREJA, Dinno Amor Rosalejos",individual,PAREJA,D,Amor Rosalejos
"SYLA, Azem",individual,SYLA,A,
"AL-RAWI, Talib 'Ali Husayn Al-Ahmad",individual,AL-RAWI,Ta,'Ali Husayn Al-Ahmad
"AL-QUBAYSI, Abd-al-Munim",individual,AL-QUBAYSI,Abd-al-,
"MORDASHOV, Kirill Alekseyevich",individual,MORDASHOV,Ki,Alekseyevich
"OO, Mya Tun",individual,OO,Mya,Tun
"AKHAEI, Shaghayegh",individual,AKHAEI,Shaghay,
"BILAL, Ghassan Ali",individual,BILAL,Gh,Ali
"PULIDO VALDIVIA, Javier",individual,PULIDO VALDIVIA,Ja,
"LI, Jiadong",individual,LI,Ji,
"KUBRAKOU, Ivan Uladzimiravich",individual,KUBRAKOU,Iva,Uladzimiravich
"KIRYANOVA, Tatiana Borisovna",individual,KIRYANOVA,Tatia,Borisovna
"KARA-OOL, Sholban Valerievich",individual,KARA-OOL,Sho,Valerievich
"FLORES SALINAS, Mario Antonio",individual,FLORES SALINAS,Ma,Antonio
"AL-ADL, Sayf",individual,AL-ADL,Say,
"SHUSHANASHVILI, Lasha Pavlovich",individual,SHUSHANASHVILI,L,Pavlovich
"ESPARRAGOZA MORENO, Juan Jose",individual,ESPARRAGOZA MORENO,J,Jose
"JAKSIC, Marko",individual,JAKSIC,Mar,
"WAKED HATUM, Nidal Ahmed",individual,WAKED HATUM,Nida,Ahmed
"BRITO RODRIGUEZ, Jose Dionisio",individual,BRITO RODRIGUEZ,Jo,Dionisio
"SAVCHENKO, Svetlana Borisovna",individual,SAVCHENKO,S,Borisovna
"GOLDFINCH, Paul Andrew",individual,GOLDFINCH,Pa,Andrew
"KO, Tae Hun",individual,KO,Tae,Hun
"AL-NAJDI, Muhannad",individual,AL-NAJDI,Muhan,
"ZHENG, Guanghua",individual,ZHENG,Gu,
"SAMOKUTYAEV, Alexander Mikhaylovich",individual,SAMOKUTYAEV,Ale,Mikhaylovich
"OBLITAS RUZZA, Sandra",individual,OBLITAS RUZZA,S,
"KRASHENINNIKOV, Pavel Vladimirovich",individual,KRASHENINNIKOV,Pav,Vladimirovich
"THET, Naing Win",individual,THET,N,Win
