Full Name,Entity Type,Last Name,First Name,Second Name
"FIROUZABADI, Hassan",individual,FIROUZABADI,H,
"GAI, Taban Deng",individual,GAI,T,Deng
"ASTREIKA, Alyaksandr Vyachaslavavich",individual,ASTREIKA,A,Vyachaslavavich
"RODRIGUEZ FERNANDEZ, Andre",individual,RODRIGUEZ FERNANDEZ,An,
"VLASOVA, Veronika Valerievna",individual,VLASOVA,Veroni,Valerievna
"RIVERA-LUNA, Moises Humberto",individual,RIVERA-LUNA,Moi,Humberto
"ARROYAVE RUIZ, Elkin Alberto",individual,ARROYAVE RUIZ,Elki,Alberto
"PLAKSIN, Gennady Nikolaevich",individual,PLAKSIN,G,Nikolaevich
"RAMIREZ PERALES, Jose Odilon",individual,RAMIREZ PERALES,Jos,Odilon
"CHIWESHE, George",individual,CHIWESHE,G,
"MILOSEVIC, Borislav",individual,MILOSEVIC,Borisl,
"AL-TIKRITI, Khawla Barzan Ibrahim Hasan",individual,AL-TIKRITI,Khaw,Barzan Ibrahim Hasan
"DANYLCHENKO, Halyna Viktorivna",individual,DANYLCHENKO,H,Viktorivna
"KARA-OOL, Sholban Valerievich",individual,KARA-OOL,Sholb,Valerievich
"GHARIB, Abbas Hassan",individual,GHARIB,A,Hassan
"ZIMURINDA, Innocent",individual,ZIMURINDA,Innoce,
"SHAHRIYARI, Behnam",individual,SHAHRIYARI,Behn,
"NURISTANI, Abdul Aziz",individual,NURISTANI,A,Aziz
"FORUZANDEH, Ahmed",individual,FORUZANDEH,A,
"SHATROU, Aliaksandr Yauhenavich",individual,SHATROU,Aliaksan,Yauhenavich
"FLORES CACHO, Javier",individual,FLORES CACHO,Jav,
"'ATO, Mustaf",individual,'ATO,Mus,
"KHITI, Amer Taysir",individual,KHITI,Am,Taysir
"DURANSOY, Cagri",individual,DURANSOY,Ca,
"GAXIOLA GARCIA, Maria Elena",individual,GAXIOLA GARCIA,Mari,Elena
"RA'D, Muhammad Hasan",individual,RA'D,Muhamm,Hasan
"FETTAR, Rachid",individual,FETTAR,Rac,
"MUN, Kyong Hwan",individual,MUN,K,Hwan
"KISLYAKOV, Mikhail Leonidovich",individual,KISLYAKOV,M,Leonidovich
"BUENO GARCIA, Santos",individual,BUENO GARCIA,Sant,
"WAKED HATUM, Gazy",individual,WAKED HATUM,Gaz,
"AL-HABABI, Nayf Salam Muhammad Ujaym",individual,AL-HABABI,Na,Salam Muhammad Ujaym
"PARRA RIVERO, Luis Eduardo",individual,PARRA RIVERO,Lui,Eduardo
